"ID Number",Office Name,Address 1,City,State,Zip,DMA,Latitude,Longitude,GeoLocType,DNUC
MED-100852,Pax Medical,537 Blooming Grove Tpk,New Windsor,NY,12553,New York,41.462936,-74.040228,ROOFTOP,no
MED-100272,Dr. Robert DeMartin,1330 Laurel Ave,Sea Girt,NJ,08758,New York,40.13696,-74.061543,ROOFTOP,no
MED-101335,Premier Healthcare Associates and Atlantic OBGYN,1631 Rte 88 W,Brick,NJ,08724,New York,40.075915,-74.135667,ROOFTOP,no
MED-100920,Orange Medical Group,310 Central Ave,East Orange,NJ,07018,New York,40.755282,-74.214473,ROOFTOP,no
MED-100872,Women's Health Associates of Central Jersey,705 Candlewood Commons,Howell,NJ,07731,New York,40.1477857,-74.2242061,RANGE_INTERPOLATED,no
MED-101095,Town Medical Associates ,271 Grove Ave,Verona,NJ,07044,New York,40.844181,-74.236326,ROOFTOP,no
MED-101096,Town Medical Associates ,271 Grove Ave,Verona,NJ,07044,New York,40.844181,-74.236326,ROOFTOP,no
MED-100841,Dr. Anne Maria Gracia,59 Main St,West Orange,NJ,07052,New York,40.777752,-74.238148,ROOFTOP,no
MED-101102,"Mario Capio, MD",230 W Pkwy,Pompton Plains,NJ,07444,New York,40.9816225,-74.307302,RANGE_INTERPOLATED,no
MED-101275,Changebridge Medical Associates,170 Changebridge Rd,Montville,NJ,07045,New York,40.88985,-74.3656859,ROOFTOP,no
MED-101224,Soboba Indian Health Center,607 Donna Way,San Jacinto,CA,92583,Los Angeles,33.781945,-116.936696,ROOFTOP,no
MED-101230,Soboba Indian Health Center,607 Donna Way,San Jacinto,CA,92583,Los Angeles,33.781945,-116.936696,ROOFTOP,no
MED-101188,"Dipak G. Vora, MD",705 E Virginia Way,Barstow,CA,92311,Los Angeles,34.8881991,-117.0185456,ROOFTOP,no
MED-101180,Barstow Family Care,705 E Virginia Way,Barstow,CA,92311,Los Angeles,34.8881991,-117.0185456,ROOFTOP,no
MED-101193,Dr. Mike's Walk In Clinic ,12143 Navajo Rd,Apple Valley,CA,92308,Los Angeles,34.47239,-117.189714,ROOFTOP,no
MED-101171,"George Villanueva, MD",126 Avacado Ave,Perris,CA,92571,Los Angeles,33.8103628,-117.2245228,ROOFTOP,no
MED-101194,Dr. Mike's Walk In Clinic,15626 Hesperia Rd,Victorville,CA,92395,Los Angeles,34.534666,-117.291891,ROOFTOP,no
MED-100624,"R. S. Bir MD, Inc.",280 N Riverside Ave,Rialto,CA,92376,Los Angeles,34.1039193,-117.3706773,ROOFTOP,no
MED-101155,Sierra San Antonio Urgent Care,16465 Sierra Lakes Pkwy,Fontana,CA,92336,Los Angeles,34.137366,-117.445583,ROOFTOP,no
MED-101170,"Jasmine Leong, MD",1280 Corona Pointe Ct,Corona,CA,92879,Los Angeles,33.870069,-117.540711,ROOFTOP,no
MED-101178,"Ravinder Singh, MD",8231 Rochester Ave,Rancho Cucamonga,CA,91730,Los Angeles,34.103967,-117.544581,ROOFTOP,no
MED-101187,Dr. Jack Cochran,720 Magnolia Ave,Corona,CA,92879,Los Angeles,33.857874,-117.555311,ROOFTOP,no
MED-100605,Dr. Susan Biegel,1113 Alta Ave,Upland,CA,91786,Los Angeles,34.108319,-117.632653,ROOFTOP,no
MED-101053,Inland Pulmonary Medical Group,637 N 13th Ave,Upland,CA,91786,Los Angeles,34.101376,-117.634166,ROOFTOP,no
MED-100497,Dr. Ghassan Hadi,1060 E Foothill Blvd,Upland,CA,91789,Los Angeles,34.1070519,-117.6385113,RANGE_INTERPOLATED,no
MED-101279,The Grand Medical Group,703 E St E,Ontario,CA,91764,Los Angeles,34.068582,-117.641154,ROOFTOP,no
MED-100397,Inland Pulmonary,9655 Monte Vista Ave,Montclair,CA,91763,Los Angeles,34.0799329,-117.696583,ROOFTOP,no
MED-100680,Grand Medical Group,4950 San Bernardino St,Montclair,CA,91763,Los Angeles,34.07874,-117.696976,ROOFTOP,no
MED-100688,The Grand Medi-Spa,13768 Roswell Ave,Chino,CA,91710,Los Angeles,34.003471,-117.722497,ROOFTOP,no
MED-101195,"Leon Steinberg, MD",801 N Tustin Ave,Santa Ana,CA,92705,Los Angeles,33.752566,-117.8340657,ROOFTOP,no
MED-101126,Your Family Care Center,801 N Tustin Blvd,Tustin,CA,92705,Los Angeles,33.752566,-117.8340657,ROOFTOP,no
MED-100661,"Dr. Velez, Florentino, Valle",805 W La Veta,Orange,CA,92868,Los Angeles,33.781488,-117.860301,ROOFTOP,no
MED-100538,Woodglen Medical Group,315 E Rte 66,Glendora,CA,91740,Los Angeles,34.1288304,-117.8607301,RANGE_INTERPOLATED,no
MED-100539,Woodglen Medical Group,315 E Rte 66,Glendora,CA,91740,Los Angeles,34.1288304,-117.8607301,RANGE_INTERPOLATED,no
MED-101068,Newport Urgent Care,1000 Bristol St N,Newport Beach,CA,92660,Los Angeles,33.657701,-117.866312,ROOFTOP,no
MED-100459,Dr. David Shek,1401 S Anaheim Blvd,Anaheim,CA,92805,Los Angeles,33.813713,-117.907154,ROOFTOP,no
MED-101043,Newport Mesa Medical Group,275 Victoria St,Costa Mesa,CA,92627,Los Angeles,33.652587,-117.9111713,ROOFTOP,no
MED-101146,Harbor Heart,1400 N Harbor Blvd,Fullerton,CA,92835,Los Angeles,33.884382,-117.9255978,RANGE_INTERPOLATED,no
MED-100544,Family & General Practice,11180 Warner Ave,Fountain Valley,CA,92708,Los Angeles,33.71572,-117.933375,ROOFTOP,no
MED-101090,Castellano Health Institute,12460 Euclid Dr,Garden Grove,CA,92840,Los Angeles,33.781784,-117.940697,ROOFTOP,no
MED-100279,Orange County First Medical Group,1771 W Romneya Dr,Anaheim,CA,92801,Los Angeles,33.85092,-117.94456,ROOFTOP,no
MED-100302,Dr. Harvey Yung,1781 W Romneya Dr,Anaheim,CA,92801,Los Angeles,33.850951,-117.944742,ROOFTOP,no
MED-100168,Coast Pulmonary Internal Medical Associates,9940 Talbert Ave,Fountain Valley,CA,92708,Los Angeles,33.701664,-117.9554552,RANGE_INTERPOLATED,no
MED-100563,Walk In Medical Care,18326 Pioneer Blvd,Artesia,CA,90701,Los Angeles,33.8649427,-118.081997,ROOFTOP,no
MED-100259,Dr. Geoffrey Dolan,3816 Woodruff Ave,Long Beach,CA,90808,Los Angeles,33.8281459,-118.115712,ROOFTOP,no
MED-100925,Cardio Medical Consultants,8327 Davis St,Downey,CA,90241,Los Angeles,33.9364204,-118.133953,ROOFTOP,no
MED-101252,California Family Physicians,11903 Downey Ave,Downey,CA,90242,Los Angeles,33.9319042,-118.1390937,ROOFTOP,no
MED-101047,Internal Medicine & Geriatrics,3420 W Beverly Blvd,Montebello,CA,90640,Los Angeles,34.0247895,-118.1411432,RANGE_INTERPOLATED,no
MED-100652,Dr. Arunpal Sehgal,3300 E South St,Long Beach,CA,90805,Los Angeles,33.859511,-118.153615,ROOFTOP,no
MED-100530,Dr. Alberto Wilches,7831 Jackson St,Paramount,CA,90723,Los Angeles,33.885664,-118.161691,ROOFTOP,no
MED-100262,Khemara Family Medical Group,1533 Alamitos Ave,Long Beach,CA,90813,Los Angeles,33.7870365,-118.1767315,ROOFTOP,no
MED-100562,Walk In Medical Care,3760 Atlantic Ave,Long Beach,CA,90807,Los Angeles,33.826315,-118.184594,ROOFTOP,no
MED-100294,Dr. George M. Jayatilaka,1045 Atlantic Ave,Long Beach,CA,90813,Los Angeles,33.780235,-118.185393,ROOFTOP,no
MED-100319,Cal-Care Medical Group,500 Willow St,Long Beach,CA,90806,Los Angeles,33.804138,-118.187024,ROOFTOP,no
MED-100337,Panacea Health Care,2630 Pacific Ave,Long Beach,CA,90806,Los Angeles,33.8049289,-118.1936977,ROOFTOP,no
MED-100252,Pacific Urgent Care,2777 Pacific Ave,Long Beach,CA,90806,Los Angeles,33.8077345,-118.1939131,ROOFTOP,no
MED-100299,Dr. Kirshna N. Manvi,2777 Pacific Ave,Long Beach,CA,90806,Los Angeles,33.8077345,-118.1939131,ROOFTOP,no
MED-100324,Multi Health Care,3175 E Firestone Blvd,South Gate,CA,90280,Los Angeles,33.955123,-118.2137455,ROOFTOP,no
MED-100307,Coastal Physicians Medical,824 E Carson St,Carson,CA,90745,Los Angeles,33.831052,-118.260617,ROOFTOP,no
MED-100453,Divine Grace Medical Clinic,23517 S Main St,Carson,CA,90745,Los Angeles,33.8114881,-118.2757108,ROOFTOP,no
MED-101098,Culver Health Associates,3831 Hughes Ave,Culver City,CA,90232,Los Angeles,34.0223129,-118.398343,ROOFTOP,no
MED-101142,Venice Culver Marina Medical Group,12212 W Washington Blvd,Los Angeles,CA,90066,Los Angeles,34.000043,-118.4283,ROOFTOP,no
MED-100838,Dr. Robert Buckingham,115 Pirie Rd,Ojai,CA,93023,Los Angeles,34.4426111,-119.2658364,RANGE_INTERPOLATED,no
MED-100840,Dr. Surendra Shah,5825 Broadway ,Merillville,IN,46410,Chicago,41.512237,-87.335629,ROOFTOP,no
MED-100889,New Town OBGYN,2200 Grant St,Gary,IN,46404,Chicago,41.578444,-87.356555,ROOFTOP,no
MED-100856,East Side Medical Health Center,10551 S Ewing Ave,Chicago,IL,60617,Chicago,41.7031319,-87.5351178,ROOFTOP,no
MED-101094,Pro Health Care Center,10512 S Ewing Ave,Chicago,IL,60617,Chicago,41.7040888,-87.5354253,ROOFTOP,no
MED-100888,AMG Medical Group,3550 E 118th St,Chicago,IL,60617,Chicago,41.681244,-87.537771,ROOFTOP,no
MED-100994,Tellez Medical Group,9206 S Commercial Ave,Chicago,IL,60617,Chicago,41.727874,-87.551511,ROOFTOP,no
MED-100824,Horizon Healthcare,1600 167th St,Calumet City,IL,60409,Chicago,41.5864961,-87.5589588,RANGE_INTERPOLATED,no
MED-100801,Dr. Birinder Marwah,400 E 41st St,Chicago,IL,60653,Chicago,41.820872,-87.614558,ROOFTOP,no
MED-100902,Michael Reese Physicians Group,2555 S Martin Luther King Dr,Chicago,IL,60616,Chicago,41.8454165,-87.6172781,RANGE_INTERPOLATED,no
MED-101119,111th & State Medical Center,11101 S State St,Chicago,IL,60628,Chicago,41.6925743,-87.6230634,RANGE_INTERPOLATED,no
MED-101114,Mercy Medical in Chatham,8541 S State St,Chicago,IL,60619,Chicago,41.7387497,-87.6241686,RANGE_INTERPOLATED,no
MED-100255,Millennium Park Medical Associates,30 S Michigan Ave,Chicago,IL,60603,Chicago,41.8811023,-87.6245792,ROOFTOP,no
MED-101082,S. Shah & Associates ,1223 W 87th St,Chicago,IL,60620,Chicago,41.7357603,-87.6542153,ROOFTOP,no
MED-100997,Broadway Medical Group,4826 N Broadway Ave,Chicago,IL,60640,Chicago,41.9698563,-87.6599311,ROOFTOP,no
MED-100805,Kankakee Internal Medicine Group,739 N Dixie Hwy,Momence,IL,60954,Chicago,41.1693007,-87.6629066,RANGE_INTERPOLATED,no
MED-101085,Highland Medical Center,8201 S Ashland Ave,Chicago,IL,60620,Chicago,41.7448744,-87.6631871,RANGE_INTERPOLATED,no
MED-101185,Family Physicians of Lakeview,3002 N Ashland Ave,Chicago,IL,60657,Chicago,41.9365184,-87.6687899,ROOFTOP,no
MED-101097,Prieto & Associates,1810 W Chicago Ave,Chicago,IL,60622,Chicago,41.8961107,-87.6727327,ROOFTOP,no
MED-100996,"K. J. Philip, MD",800 Austin St,Evanston,IL,60202,Chicago,42.0251715,-87.6828189,ROOFTOP,no
MED-100768,Boffa Surgical Group,2222 W Division St,Chicago,IL,60622,Chicago,41.903283,-87.683365,ROOFTOP,no
MED-100778,Apantaku Clinics LTD,2222 W Division St,Chicago,IL,60622,Chicago,41.903283,-87.683365,ROOFTOP,no
MED-101266,Dr. Melnik Iouri,809 N Western Ave,Chicago,IL,60622,Chicago,41.8961403,-87.6866863,ROOFTOP,no
MED-100709,Western-Foster Medical Clinic,5214 N Western Ave,Chicago,IL,60625,Chicago,41.9766873,-87.6893607,ROOFTOP,no
MED-100587,Dr. Bansi Sharma,17577 S Kedize Ave,Hazel Crest,IL,60429,Chicago,41.5704009,-87.693932,ROOFTOP,no
MED-100600,Reproductive Health Associates,17850 S Kedzie Ave,Hazel Crest,IL,60429,Chicago,41.565441,-87.696725,ROOFTOP,no
MED-100814,Ermias Tilahun M.D. S.C.,2740 W Foster Ave,Chicago,IL,60625,Chicago,41.9759967,-87.6978356,ROOFTOP,no
MED-100712,"Elizabeth Anderson, MD",2740 W Foster Ave,Chicago,IL,60625,Chicago,41.9759967,-87.6978356,ROOFTOP,no
MED-101021,Boffa Surgical Group,5140 N California Ave,Chicago,IL,60625,Chicago,41.9758389,-87.6992293,ROOFTOP,no
MED-100702,All Women's Medical Center,3140 W Irving Park Rd,Chicago,IL,60618,Chicago,41.9540216,-87.7071829,ROOFTOP,no
MED-101026,Zapata MEdical Center,3743 W Fullerton Ave,Chicago,IL,60647,Chicago,41.9244342,-87.7211876,ROOFTOP,no
MED-101214,Mercy Medical on Pulaski,5525 S Pulaski Rd,Chicago,IL,60629,Chicago,41.7924336,-87.7231073,RANGE_INTERPOLATED,no
MED-101198,Mercy Medical ,4321 S Pulaski Rd,Chicago,IL,60632,Chicago,41.8145141,-87.7237063,RANGE_INTERPOLATED,no
MED-100431,Cardiothoracic and Vascular Surgical Associates,4400 W 95 St,Oak Lawn,IL,60453,Chicago,41.7203051,-87.7311276,RANGE_INTERPOLATED,no
MED-100427,16th Medical Center,4304 W 16th St,Chicago,IL,60623,Chicago,41.858793,-87.7324683,RANGE_INTERPOLATED,no
MED-100233,Dr. Abdulkareem Khudeira,4651 W 79th St,Chicago,IL,60652,Chicago,41.7491265,-87.7382065,RANGE_INTERPOLATED,no
MED-101084,Chicago Reach Clinic,4501 W Augusta Blvd,Chicago,IL,60620,Chicago,41.8988134,-87.7385069,RANGE_INTERPOLATED,no
MED-100882,Robledo Medical & Cosmetic Treatment Center,4711 W Golf Rd,Skokie,IL,60076,Chicago,42.0552091,-87.7443872,RANGE_INTERPOLATED,no
MED-101075,Skokie Family Clinic,4726 W Oakton St,Skokie,IL,60076,Chicago,42.0262765,-87.7461917,RANGE_INTERPOLATED,no
MED-100722,Cicero Prompt Care & Family Medical Center,3000 N Cicero Ave,Chicago,IL,60641,Chicago,41.9353156,-87.7469392,ROOFTOP,no
MED-100900,Orchard Medical Group,4905 Old Orchard Center,Skokie,IL,60077,Chicago,42.0617465,-87.7490396,RANGE_INTERPOLATED,no
MED-100898,Women's Health Group,4905 Old Orchard ,Skokie,IL,60076,Chicago,42.0624164,-87.7493437,RANGE_INTERPOLATED,no
MED-101127,Oakton Health Center,4860 W Oakton St,Skokie,IL,60077,Chicago,42.0264535,-87.749757,ROOFTOP,no
MED-101039,Diversey-Long Medical Center,5356 W Diversey Ave,Chicago,IL,60639,Chicago,41.931604,-87.761065,ROOFTOP,no
MED-101161,Clinica San Lazaro,5712 W 35th St,Cicero,IL,60804,Chicago,41.829312,-87.766521,ROOFTOP,no
MED-100705,Chicago Research Center,3401 N Central Ave,Chicago,IL,60634,Chicago,41.9422447,-87.7666069,RANGE_INTERPOLATED,no
MED-100919,"Paul Oswiecimski, MD",13305 S Ridgeland Ave,Palos Heights,IL,60463,Chicago,41.6487342,-87.7767385,ROOFTOP,no
MED-100958,Jefferson Park Medical Group,5906 N Milwaukee Ave,Chicago,IL,60646,Chicago,41.9887939,-87.7799835,ROOFTOP,no
MED-101160,Horizon Healthcare ,6703 W 159th St,Tinley Park,IL,60477,Chicago,41.6024106,-87.78275,RANGE_INTERPOLATED,no
MED-100724,Midtown Physicians,6538 W Cermak Rd,Berwyn,IL,60402,Chicago,41.8507383,-87.787541,RANGE_INTERPOLATED,no
MED-100446,Dr. Smita J. Shah,6905-A W Carmak Rd,Berwyn,IL,60402,Chicago,41.8505163,-87.7960697,RANGE_INTERPOLATED,no
MED-100905,Issan Health Care Associates,7604 W 63rd St,Summit ,IL,60501,Chicago,41.7772325,-87.8059156,RANGE_INTERPOLATED,no
MED-101000,Baluchi Medical Group,7435 W Madison St,Forest Park,IL,60130,Chicago,41.879936,-87.811316,ROOFTOP,no
MED-101116,Family Medicine Associates,7900 N Milwaukee Ave,Niles,IL,60714,Chicago,42.024746,-87.815486,ROOFTOP,no
MED-101122,Dr. John Oh,241 Golf Mill Shopping Center,Niles,IL,60714,Chicago,42.051528,-87.83768,GEOMETRIC_CENTER,no
MED-100669,Alma Medical Center,1411 S 5th Ave,Maywood,IL,60153,Chicago,41.8760193,-87.8387127,RANGE_INTERPOLATED,no
MED-100363,Consultants in Cardiovascular Medicine,675 W North Ave,Melrose Park,IL,60160,Chicago,41.9074294,-87.8426101,ROOFTOP,no
MED-100372,Clinical Cardiology Consultants,675 W North Ave,Melrose Park,IL,60160,Chicago,41.9074294,-87.8426101,ROOFTOP,no
MED-100723,Midtown Physicians,675 W North Ave,Melrose Park,IL,60160,Chicago,41.9074294,-87.8426101,ROOFTOP,no
MED-100683,The Center for Women & Family Practice,1111 Superior St,Melrose Park,IL,60160,Chicago,41.8925201,-87.8470704,RANGE_INTERPOLATED,no
MED-100491,Dr. Peter EuPierre,1111 Superior St,Melrose Park,IL,60160,Chicago,41.8925201,-87.8470704,RANGE_INTERPOLATED,no
MED-100802,Women's Health Specialists,1875 Dempster St,Park Ridge,IL,60068,Chicago,42.038564,-87.848749,ROOFTOP,no
MED-100819,Life Medical S.C.,1875 W Dempster St,Park Ridge,IL,60068,Chicago,42.038564,-87.848749,ROOFTOP,no
MED-101025,Parkside Obstetrics Gynecology & infertility,1875 Dempster St,Park Ridge,IL,60068,Chicago,42.038564,-87.848749,ROOFTOP,no
MED-100366,The Center for Women,1419 W Lake St,Melrose Park,IL,60160,Chicago,41.892166,-87.8506685,RANGE_INTERPOLATED,no
MED-101074,Brook Park Medical Center,3101 S Maple Ave,Brookfield,IL,60513,Chicago,41.83458,-87.851437,ROOFTOP,no
MED-100910,Family Medicine Associates,375 N Wall Street,Kankakee,IL,60901,Chicago,41.1240746,-87.8826006,RANGE_INTERPOLATED,no
MED-101120,Primary Health Associates,12701 W 143rd St,Homer Glen,IL,60491,Chicago,41.628322,-87.929027,ROOFTOP,no
MED-100700,Dr Harcharan & Charanjit Kalsi,1200 S York Rd,Elmhurst,IL,60126,Chicago,41.865023,-87.932269,ROOFTOP,no
MED-100675,Mokena Family Physicians,11243 W LaPorte Rd,Mokena,IL,60448,Chicago,41.5325139,-87.9431446,RANGE_INTERPOLATED,no
MED-101182,Aziz Medical Center,622 N Addison Rd,Villa Park,IL,60181,Chicago,41.9017735,-87.9885114,RANGE_INTERPOLATED,no
MED-100358,Naperville Internist,3825 S Highland Ave,Downers Grove,IL,60515,Chicago,41.81769,-88.008811,ROOFTOP,no
MED-100726,Our OBGYN S.C.,3825 Highland Ave 2,Downers Grove,IL,60515,Chicago,41.81769,-88.008811,ROOFTOP,no
MED-101280,Women's Health Specialists of Grays Lake,1475 E Belvidere Rd,Grayslake,IL,60030,Chicago,42.337833,-88.011324,ROOFTOP,no
MED-101011,Woodridge Clinic,7530 S Woodward Ave,Woodridge,IL,60517,Chicago,41.749355,-88.031436,ROOFTOP,no
MED-100359,Heartland Primary Care,215 Remington Blvd,Bolingbrook,IL,60440,Chicago,41.68365,-88.075204,ROOFTOP,no
MED-100368,Dr. Vinod Motiani,404 W Boughton Rd,Bolingbrook,IL,60440,Chicago,41.7082157,-88.0833531,RANGE_INTERPOLATED,no
MED-100995,Hakim Healthcare,1325 W Jefferson,Joliet,IL,60435,Chicago,41.5229407,-88.1147032,RANGE_INTERPOLATED,no
MED-101018,Premier Physicians,1280 Windham Pkwy,Romeoville,IL,60446,Chicago,41.662861,-88.123791,ROOFTOP,no
MED-101203,Clinical Associates in Medicine,330 N Madison St,Joliet,IL,60435,Chicago,41.528972,-88.133913,ROOFTOP,no
MED-100729,JRC Medical Clinic,1601 Tanglewood Ave,Hanover Park,IL,60133,Chicago,42.0041876,-88.1450802,ROOFTOP,no
MED-100357,Naperville Internist,640 S Washington St,Naperville,IL,60540,Chicago,41.766744,-88.147642,ROOFTOP,no
MED-101283,DuPage Medical Group,100 Spalding DR,Naperville,IL,60540,Chicago,41.7613535,-88.1522773,RANGE_INTERPOLATED,no
MED-100877,Valley Women's Health,2121 Ridge Ave,Aurora,IL,60564,Chicago,41.72933,-88.2618413,RANGE_INTERPOLATED,no
MED-100195,Mercer Internal Medicine,2480 Pennington Rd,Pennington,NJ,08534,Philadelphia,40.302325,-74.782501,ROOFTOP,no
MED-100955,"Rafael Hasbun, MD",813 E Gate Dr,Mt. Laurel,NJ,08054,Philadelphia,39.9428636,-74.9525825,ROOFTOP,no
MED-101307,Garden State OBGYN,2401 Evesham Rd,Voorhees,NJ,08043,Philadelphia,39.864807,-74.953979,ROOFTOP,no
MED-100116,North Willow Grove Family Medicine,2701 Blair Mill Rd,Willow Grove,PA,19090,Philadelphia,40.164995,-75.132257,ROOFTOP,no
MED-100630,Dr. Michael Rogers,831 Kings Hwy,West Deptford,NJ,08096,Philadelphia,39.828,-75.168478,ROOFTOP,no
MED-100853,Dr. Wanzhu Tang,858 Welsh Rd,Ambler,PA,19002,Philadelphia,40.1750212,-75.1735927,RANGE_INTERPOLATED,no
MED-101037,Elmer Family Practice,330 W Front St,Elmer,NJ,08318,Philadelphia,39.591048,-75.176292,ROOFTOP,no
MED-100904,Presidential Medical Center,111 N Presidential Blvd,Philiadelphia,PA,19004,Philadelphia,40.011972,-75.213805,ROOFTOP,no
MED-100847,Dr. Stanley Walker,21 Corporate Dr,Easton,PA,18045,Philadelphia,40.686089,-75.2544659,ROOFTOP,no
MED-100480,Dr. James Hart,3407 Garrett Rd,Drexel Hill,PA,19026,Philadelphia,39.9450974,-75.2955977,RANGE_INTERPOLATED,no
MED-100855,"Kim Kuhar, MD",164 W Main St,Silverdale,PA,18962,Philadelphia,40.3543187,-75.3058889,RANGE_INTERPOLATED,no
MED-100875,Everest Medical Care,2010 W Chester Pike,Havertown,PA,19083,Philadelphia,39.9763304,-75.3326178,RANGE_INTERPOLATED,no
MED-100264,Campus Medical Center,422 E 22nd St,Chester,PA,19013,Philadelphia,39.8669611,-75.3619299,RANGE_INTERPOLATED,no
MED-100500,Women's Healthcare Group,85 Old Eagle School Rd,Strafford,PA,19087,Philadelphia,40.0488209,-75.403629,ROOFTOP,no
MED-100556,Zarraga and Zarraga Internal Medicine Practice,219 S Walnut St,Milford,DE,19963,Philadelphia,38.9081397,-75.4289178,RANGE_INTERPOLATED,no
MED-100300,Ware Medical Associates,400 Cherry Tree Rd,Aston,PA,19014,Philadelphia,39.8488966,-75.4384945,RANGE_INTERPOLATED,no
MED-100576,Dr. Domingo G. Aviado,18 S Dupont Blvd,Milford,DE,19963,Philadelphia,38.914861,-75.444065,ROOFTOP,no
MED-100498,Women's Healthcare Group,599 Arcola Rd,Collegeville,PA,19426,Philadelphia,40.1653104,-75.4742986,ROOFTOP,no
MED-100036,Total Care Physicians,1320 Philadelphia Pike,Wilmington,DE,19809,Philadelphia,39.782389,-75.48132,ROOFTOP,no
MED-100577,Women for Women,325 W Central Ave,Malvern,PA,19355,Philadelphia,40.0419036,-75.4986675,RANGE_INTERPOLATED,no
