State	NPA-NXX	Ocn 	Company                                                     	RateCenter 	EffectiveDate	Use	AssignDate	Initial/Growth File Updated 01/16/2012
DC 	202-237	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-238	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-239	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	11/13/2006	G 
DC 	202-240	    	                                                            	           	          	UA	          	  
DC 	202-241	280E	"YMAX COMMUNICATIONS CORP. - DC"                            	WSHNGTNZN1 	          	AS	11/16/2006	I 
DC 	202-242	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-243	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-244	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-245	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-246	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-247	1960	"ATX TELECOMMUNICATIONS SERVICES, LTD-VA"                   	WSHNGTNZN1 	          	AS	12/13/2001	I 
DC 	202-248	8831	"STARPOWER COMMUNICATIONS, LLC - DC"                        	WSHNGTNZN1 	          	AS	          	  
DC 	202-249	8831	"STARPOWER COMMUNICATIONS, LLC - DC"                        	WSHNGTNZN1 	          	AS	          	  
DC 	202-250	8831	"STARPOWER COMMUNICATIONS, LLC - DC"                        	WSHNGTNZN1 	          	AS	          	  
DC 	202-251	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-252	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-253	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-254	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-255	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-256	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-257	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-258	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-259	6630	"USA MOBILITY WIRELESS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-260	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-261	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-262	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-263	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-264	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-265	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-266	4249	"CAVALIER EAST LLC - DC"                                    	WSHNGTNZN1 	          	AS	          	  
DC 	202-267	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-268	7229	"MCIMETRO ACCESS TRANSMISSION SERVICES LLC"                 	WSHNGTNZN1 	          	AS	          	  
DC 	202-269	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-270	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-271	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-272	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-273	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-274	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-275	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-276	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-277	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-278	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-279	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-280	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	11/16/2006	G 
DC 	202-281	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-282	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-283	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-284	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	04/21/2004	G 
DC 	202-285	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-286	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-287	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-288	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-289	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-290	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	12/02/2006	G 
DC 	202-291	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-292	7445	"MCI WORLDCOM COMMUNICATIONS, INC. - DC"                    	WSHNGTNZN1 	          	AS	          	  
DC 	202-293	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-294	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	09/26/2001	I 
DC 	202-295	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-296	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-297	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-298	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-299	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-300	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	01/19/2011	G 
DC 	202-301	    	                                                            	           	          	UA	          	  
DC 	202-302	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-303	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	03/15/2002	G 
DC 	202-304	551G	"365 WIRELESS, LLC"                                         	WSHNGTNZN1 	02/10/2012	AS	12/09/2011	I 
DC 	202-305	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-306	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-307	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-308	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	08/18/2011	G 
DC 	202-309	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-310	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-311	    	                                                            	           	          	UA	          	  
DC 	202-312	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-313	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-314	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-315	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-316	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-317	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-318	2554	"GLOBAL NAPS SOUTH, INC. - MD"                              	WSHNGTNZN1 	          	AS	          	  
DC 	202-319	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-320	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-321	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-322	0822	"LEAP WIRELESS INTL, INC. DBA CRICKET COMM, INC."           	WSHNGTNZN1 	          	AS	04/18/2011	G 
DC 	202-323	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-324	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-325	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	03/31/2008	G 
DC 	202-326	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-327	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-328	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-329	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-330	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-331	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-332	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-333	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-334	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-335	2640	"NET-TEL CORPORATION"                                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-336	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-337	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-338	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-339	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-340	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-341	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-342	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-343	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-344	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-345	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-346	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-347	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-348	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-349	2515	"US LEC OF VIRGINIA, LLC - DC"                              	WSHNGTNZN1 	          	AS	          	  
DC 	202-350	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-351	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-352	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-353	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-354	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-355	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-356	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-357	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-358	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-359	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-360	6117	"LEVEL 3 COMMUNICATIONS, LLC - DC"                          	WSHNGTNZN1 	          	AS	          	  
DC 	202-361	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-362	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-363	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-364	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-365	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-366	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-367	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-368	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	05/17/2001	G 
DC 	202-369	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-370	2801	"TW TELECOM OF DC LLC - DC"                                 	WSHNGTNZN1 	          	AS	          	  
DC 	202-371	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-372	2801	"TW TELECOM OF DC LLC - DC"                                 	WSHNGTNZN1 	          	AS	          	  
DC 	202-373	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-374	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-375	2801	"TW TELECOM OF DC LLC - DC"                                 	WSHNGTNZN1 	          	AS	          	  
DC 	202-376	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-377	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-378	7421	"AT&T LOCAL"                                                	WSHNGTNZN1 	          	AS	          	  
DC 	202-379	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-380	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-381	    	                                                            	           	          	UA	          	  
DC 	202-382	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-383	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-384	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	12/18/2006	G 
DC 	202-385	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-386	4725	"CAVALIER TELEPHONE, LLC"                                   	WSHNGTNZN1 	          	AS	04/27/2004	I 
DC 	202-387	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-388	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-389	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-390	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-391	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-392	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	UA	          	  
DC 	202-393	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-394	2959	"ARBROS COMMUNICATIONS LICENSING COMPANY, N.E. - DC"        	WSHNGTNZN1 	          	AS	          	  
DC 	202-395	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-396	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-397	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-398	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-399	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-400	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	11/11/2010	G 
DC 	202-401	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-402	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	12/04/2006	G 
DC 	202-403	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-404	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-405	6630	"USA MOBILITY WIRELESS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-406	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-407	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	10/08/2009	G 
DC 	202-408	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-409	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	10/18/2001	G 
DC 	202-411	    	                                                            	           	          	UA	          	  
DC 	202-412	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	09/25/2001	G 
DC 	202-413	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	04/05/2001	G 
DC 	202-414	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-415	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-416	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-417	6855	"OMNIPOINT COMMUNICATIONS CAP OPERATIONS, LLC"              	WSHNGTNZN1 	          	AS	08/30/2011	G 
DC 	202-418	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-419	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-420	7529	"TELEPORT COMMUNICATIONS GROUP, INC. - DC"                  	WSHNGTNZN1 	          	AS	05/19/2005	G 
DC 	202-421	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-422	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-423	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-424	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-425	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-426	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-427	6664	"SPRINT SPECTRUM L.P."                                      	WSHNGTNZN1 	          	AS	          	  
DC 	202-428	1369	"BROADSTREET COMMUNICATIONS, INC. - DC"                     	WSHNGTNZN1 	          	AS	04/26/2001	I 
DC 	202-429	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-430	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	09/19/2011	G 
DC 	202-431	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-432	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	UA	          	  
DC 	202-433	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-434	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-435	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-436	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-437	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-438	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-439	6232	"NEXTEL COMMUNICATIONS, INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-440	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	10/05/2011	G 
DC 	202-441	6402	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - DC"              	WSHNGTNZN1 	          	AS	          	  
DC 	202-442	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
DC 	202-443	4249	"CAVALIER EAST LLC - DC"                                    	WSHNGTNZN1 	          	AS	07/08/2008	G 
DC 	202-444	4989	"PAETEC COMMUNICATIONS, INC. - DC"                          	WSHNGTNZN1 	          	AS	10/16/2001	G 
DC 	202-445	4036	"NEW CINGULAR WIRELESS PCS, LLC - DC"                       	WSHNGTNZN1 	          	AS	          	  
DC 	202-446	8964	"XO D.C., INC."                                             	WSHNGTNZN1 	          	AS	          	  
DC 	202-447	9211	"VERIZON WASHINGTON, DC INC."                               	WSHNGTNZN1 	          	AS	          	  
